2023-10-24 22:13:32,882 INFO    MainThread:17856 [wandb_config.py:__setitem__():151] config set SUMMARY_LEN = 150 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x17aaff4d0>>
2023-10-24 22:13:32,883 INFO    MainThread:17856 [wandb_run.py:_config_callback():1324] config_cb SUMMARY_LEN 150 None
2023-10-24 22:13:32,885 INFO    MainThread:17856 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-10-24 22:13:32,885 INFO    MainThread:17856 [wandb_init.py:_pause_backend():438] pausing backend
2023-10-24 22:13:32,888 INFO    MainThread:17856 [wandb_init.py:_resume_backend():443] resuming backend
2023-10-24 22:13:32,954 INFO    MainThread:17856 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-10-24 22:13:32,954 INFO    MainThread:17856 [wandb_init.py:_pause_backend():438] pausing backend
2023-10-24 22:13:32,958 INFO    MainThread:17856 [wandb_init.py:_resume_backend():443] resuming backend
2023-10-24 22:13:32,959 INFO    MainThread:17856 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-10-24 22:13:32,959 INFO    MainThread:17856 [wandb_init.py:_pause_backend():438] pausing backend
2023-10-24 22:13:32,962 INFO    MainThread:17856 [wandb_init.py:_resume_backend():443] resuming backend
2023-10-24 22:13:34,397 INFO    MainThread:17856 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-10-24 22:13:34,397 INFO    MainThread:17856 [wandb_init.py:_pause_backend():438] pausing backend
2023-10-24 22:13:34,400 INFO    MainThread:17856 [wandb_init.py:_resume_backend():443] resuming backend
2023-10-24 22:13:37,200 INFO    MainThread:17856 [wandb_watch.py:watch():51] Watching
2023-10-24 22:13:37,205 INFO    MainThread:17856 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-10-24 22:13:37,205 INFO    MainThread:17856 [wandb_init.py:_pause_backend():438] pausing backend
2023-10-24 22:13:37,212 INFO    MainThread:17856 [wandb_init.py:_resume_backend():443] resuming backend
2023-10-24 22:13:37,214 INFO    MainThread:17856 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-10-24 22:13:37,214 INFO    MainThread:17856 [wandb_init.py:_pause_backend():438] pausing backend
2023-10-24 22:13:37,217 INFO    MainThread:17856 [wandb_init.py:_resume_backend():443] resuming backend
2023-10-24 22:32:24,754 INFO    MainThread:17856 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-10-24 22:32:24,754 INFO    MainThread:17856 [wandb_init.py:_pause_backend():438] pausing backend
2023-10-24 22:32:35,294 INFO    MainThread:17856 [wandb_init.py:_resume_backend():443] resuming backend
2023-10-24 22:33:24,939 INFO    MainThread:17856 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-10-24 22:33:24,939 INFO    MainThread:17856 [wandb_init.py:_pause_backend():438] pausing backend
